Comment,Initial Reply,Replies,Likes
"Lyrics:
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, go, go away
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, go, go away
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, go, go away
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, go, go away

We just wanna party
Party just for you
We just want the money
Money just for you
I know you wanna party (yeah)
Party just for free
Girl, you got me dancin' (girl, you got me dancin')
Dance and shake the frame
We just wanna party (yeah)
Party just for you (yeah)
We just want the money (yeah)
Money just for you (ooh)
I know you wanna party (yeah)
Party just for free (yeah)
Girl, you got me dancin' (girl, you got me dancin')
Dance and shake the frame (ooh)

This is America
Don't catch you slippin' now
Don't catch you slippin' now
Look what I'm whippin' now
This is America (woo)
Don't catch you slippin' now
Don't catch you slippin' now
Look what I'm whippin' now

This is America (skrrt, skrrt, woo)
Don't catch you slippin' now (ayy)
Look at how I'm livin' now
Police be trippin' now (woo)
Yeah, this is America (woo, ayy)
Guns in my area (word, my area)
I got the strap (ayy, ayy)
I gotta carry 'em
Yeah, yeah, I'ma go into this (ugh)
Yeah, yeah, this is guerilla, woo
Yeah, yeah, I'ma go get the bag
Yeah, yeah, or I'ma get the pad
Yeah, yeah, I'm so cold like yeah (yeah)
I'm so dope like yeah (woo)
We gon' blow like yeah (straight up, uh)

Ooh-ooh-ooh-ooh-ooh, tell somebody
You go tell somebody
Grandma told me
Get your money, black man (get your money)
Get your money, black man (get your money)
Get your money, black man (get your, black man)
Get your money, black man (get your, black man)
Black man

This is America (woo, ayy)
Don't catch you slippin' now (woo, woo, don't catch you slippin', now)
Don't catch you slippin' now (ayy, woah)
Look what I'm whippin' now (Slime!)
This is America (yeah, yeah)
Don't catch you slippin' now (woah, ayy)
Don't catch you slippin' now (ayy, woo)
Look what I'm whippin' now (ayy)

Look how I'm geekin' out (hey)
I'm so fitted (I'm so fitted, woo)
I'm on Gucci (I'm on Gucci)
I'm so pretty (yeah, yeah)
I'm gon' get it (ayy, I'm gon' get it)
Watch me move (blaow)
This a celly (ha)
That's a tool (yeah)
On my Kodak (woo, Black)
Ooh, know that (yeah, know that, hold on)
Get it (get it, get it)
Ooh, work it (21)
Hunnid bands, hunnid bands, hunnid bands (hunnid bands)
Contraband, contraband, contraband (contraband)
I got the plug on Oaxaca (woah)
They gonna find you like blocka (blaow)

Ooh-ooh-ooh-ooh-ooh, tell somebody
(America, I just checked my following list and)
You go tell somebody
(You mothafuckas owe me)
Grandma told me
Get your money, black man (black man)
Get your money, black man (black man)
Get your money, black man (black man)
Get your money, black man (black man)
Black man (one, two, three, get down)

Ooh-ooh-ooh-ooh-ooh, tell somebody
You go tell somebody
Grandma told me, ""Get your money, "" black man
Get your money, black man (black man)
Get your money, black man (black man)
Get your money, black man (black man)
Black man

You just a black man in this world
You just a barcode, ayy
You just a black man in this world
Drivin' expensive foreigns, ayy
You just a big dawg, yeah
I kenneled him in the backyard
No proper life to a dog
For a big dog

Please like so that others can find this easily.",Copy/paste,3,294
"Me: gets arrested for murdering a cop





Me in interrogation: This is America




The officer: You're free to go",:0,11,597
"How We see America:
How Everyone See's America:",True,7,667
"HEY CALL ME MAYBE



Sorry it's stuck in my head",That’s video was amazing,5,253
"A country that always interfere on other country's agenda or issue but can't even solve the problems in their own backyard.



This is America.....",True,8,254
"Guy: is literally chilling just playing his guitar

Childish Gambino: and I took that personally...",this got to me,6,143
English teachers will analyze this song after 50 years,"Actually bout to do a dialog worth 50 pts with this song, tell you how it goes:thumbs_up_medium-dark_skin_tone:",4,62
"*2018: this is America*


*2020: this is Soviet Russia*",Хмм,3,38
"I am floored. Thank you, everyone and anyone involved in bringing this video into existence 🙌🏻 devastatingly good.",Garrett Watts !!!!,145,6426
i feel like the women whose sitting on the car at the end represents all black female celebrities who worked so hard to get where they are but others use this image to say everything is great we even have black female artists,i agree with this but btw that' woman' was sza,2,68
When he says I looking so pretty now he means poeple on meida don't under stand what happening around them and it tryna distract you with the danceing but in the back round crimes are happening this is 100% true about America,"True! I see so lier American movies, ""the American Dream""",1,60
Artistic direction on point.,Chris Ramsay Ayyy would ya look who it is,27,1886
"United Staters: this is America
Rest of American countries: Are we a joke for you?",Lol,3,30
Karens: *THIS IS AMERICA SPEAK ENGLISH HERE USIDJXIWJFISND*,"*No, this is Patrick*",3,71
GAMBINO IS BACK 🔥🔥,Steven Van AYYYYYY,33,1921
"Donald Glover: kills like 20 people for no reason


Also him: 💃💃🕺🕺🕺",Do you get the message lol,5,2
Who think this should be USA's New National Anthem,"Nah the one we have now if perfect, :United_States::United_States:MAGA",4,262
The dancing is meant to  distract society from what goes on in the background,Seems its a cut against black people who shoot each other with a veneer of oblivious partying overlaying it.  Not very flattering to the millions of black people who work hard and raise families.,39,1524
"As an Asian girl, when this song first came out, despise the fact that the everyone went crazy, I perceived this as a meme. I saw images of this music video everywhere on the Internet, of ppl making memes out of it. I laughed and went a long w the thinking that it was just an exaggeration or a funny presentation of gun violence. Now that I’m watching it again, I realize the message behind it. I never understood what racial inequality meant for black ppl, what police brutality was, what being a gun violence victim was. Now that I’ve grown out of my immature self from two years ago, I’ve fully perceived this message. And as an asian ally, I will keep bringing awareness until America is fixed. Now that I know.",lovely comment :two_hearts:,11,413
this guy looks like Troy From Community.,To me he looked like that guy from atlanta .,3,6
why is the quiet kid in my class singing this,Gotta have a rythm for the drills before the school shooting i guess,75,5001
"Rest in Peace George Floyd. 

Even if I’m a white girl, I will always support my black sisters and brothers all over the world because we are all humans. 
I hope someday that racism ends. 

Stay Strong Black People. I’m with you. 🙏🏻

I want to make a tribute to Adama Traoré too. 


#BLACKLIVESMATTER. 🖤",Daya :folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone:,7,108
"Who else returned to this song because of George Floyd

RIP",That cop deserves a lifetime of prison for taking a life,3,133
People are distracted by stupid things while the real problems happens in the background. Powerful,that's why Donald is dancing like that,10,1525
This turned from a guy dancing into the purge.,Lmao,10,1335
I think the dancing is supposed to distract us from what’s happening in the background because in America we make up these new trends which distracts us from the real problems in the world,I love how you can really read between the lines in this music video and find so many messages,490,66878
"*""Every minute, at least one person gets assaulted in the United States""*
Let that process for a second",And that's coming from the f.b.i. guys :beaming_face_with_smiling_eyes:,29,1277
Everyone gangsta till the president starts singing,Wdym?,3,367
"Black guy:*breathes*

Karen:""this is america""",https://youtu.be/7PHav78gZQE fire,42,1801
"This was America 


Now it's even worse.",nah man america has always been like that,1,209
"“Racism isn’t Getting Worse, It’s Getting Filmed” 
Will Smith","So true, its just being recorded and unfortunately the technology we have has now replaced our eyes and hearts. Our views and opinions are vile as they always have been and finally a spark set off and not just humanity has had enough of itself but nature has too and just everything is having enough and the start of the end has been happening with everything going down",18,350
"*”Daddy changed the world”*
                  -Gianna Floyd",Awww:pleading_face::pleading_face::pleading_face:,4,150
"This song can’t be more accurate-




*Black people keep getting killed,* 🌼
*Kids are more suicidal each day,*
*People’s Mental Health are going down,*
*Innocent killings happen each day,*
*The Government is corrupt,*
*New deceases keep coming up,* 🌼
*People are going insane,*

(🌼= comments)
(Edited: June 5th)

plus more things but I cant mention them all ._.

What else could we ask for?",Wym man why all you care about is how the black people keep dying oh yea let’s just forget about everyone else,17,271
I don’t live in america but i stand against racism #blacklivesmatter,"You're kill people anyways, all races equally. (your username)",6,133
"This wasn't in rewind because it got overruled by fortnite

Let that sink in",:flushed_face:,32,1446
"Drake must be pissed. That video of the year award was allll his, until this came out lol",Fredrick Williams if Drakes  music was part of God's plan than God is a DOUCHE. Drake is awful.,41,2430
"Everyone is saying he predicted it, but it's BEEN an issue. The shooting, the looting, the racism has always been there.",He predicted it for those living in a bubble but for us who always knew cops were out of control we knew it was gonna happen something had to give.,9,286
the 700k people that disliked this song have to be the police,Lol,5,91
"Security: Why did you bring a gun to school??

Student: This is America!",Lol,19,2386
"Me: i want go to america!!! 

YouTube: hey you must watch this! 

Me: France was nice to


*this comment is copied*","france is always protesting.

go to somewhere peaceful. like.. Australi-- wait.. everything kills you there...

hmmm... japan.",57,1326
all the dislikes are from the people who think this is Canada,Maybe :neutral_face:,15,592
"teacher: why are you wearing a bulletproof vest to school?
me: *this is america*","very.pansexual the wife left me and took the kids

-Memeulous",105,18682
The Police are the biggest gang in America,and the biggest bullys,15,187
its more sad because this is really america,Ya,14,151
those 704K people who disliked are the reason why This Is America,"I don't care they hate me or like me.


I still love this song",28,824
Maybe this should become our national anthem.,:raised_hand::raised_hand:,30,1736
"Now George Floyd? WHAT THE HECK? Is America even a good country? Floyd resisted the arrest? I'm sorry, it looked like HE WAS RESISTING DEATH! And this happens a lot, it happened to BREONNA TAYLOR, AHMAUD ARBERY, TAMIR RICE, TRAYVON MARTIN, OSCAR GRANT, ERIC GARNER, PHILANDO CASTILE, SAMUEL DUBOSE, SANDRA BLAND, WALTER SCOTT, TERRENCE CRUTCHER. And that's not even all the people.",agree 10000 percent but america is a continent not a country. just sayin,8,276
